mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202002	102191	210467	8021250	0.39	7927500	8104688	8069250	
202002	102191	319519	9011250	0.43	9011250	8040000	8234250	
202002	102191	331249	8535000	0.47	8505000	8277188	8322750	
202002	102191	875617	8426250	0.48	8426250	8336250	8354250	
202002	102191	779983	9112500	0.44	9112500	8039062	8253750	
202002	102191	546613	8797500	0.4	8730000	7970625	8122500	
202002	102191	190543	9150000	0.49	9150000	8113125	8320500	
202002	102191	465079	8141250	0.46	8118750	8306250	8268750	
202002	102191	840197	7698750	0.47	7522500	8522812	8322750	
202002	102191	246317	8587500	0.49	8568750	8258438	8320500	
202002	102191	425791	8726250	0.46	8445000	8224688	8268750	
202002	102191	115763	7503750	0.45	7492500	8381250	8203500	
202002	102191	584473	8115000	0.43	7991250	8295000	8234250	
202002	102191	691051	8212500	0.5	8167500	8228438	8216250	
202002	102191	442577	8253750	0.6	8197500	7521562	7656750	
202002	102191	223303	8681250	0.47	8681250	8233125	8322750	
202002	102191	425329	7440000	0.5	7440000	8410312	8216250	
202002	102191	148817	8493750	0.5	8295000	8196562	8216250	
202001	102191	593297	13196250	0.52	13192500	11614688	11930250	
202001	102191	841741	12270000	0.45	12232500	11836875	11916000	
202001	102191	791851	12360000	0.35	12333750	11430000	11610750	
202001	102191	109841	12183750	0.52	12157500	11873438	11930250	
202001	102191	388237	11951250	0.49	11730000	11863125	11836500	
202001	102191	858103	12213750	0.38	12180000	11685000	11784000	
202001	102191	389761	12686250	0.51	12686250	11730000	11921250	
202001	102191	572933	13526250	0.52	13466250	11546250	11930250	
202001	102191	393079	12112500	0.46	11467500	11878125	11796000	
202001	102191	890969	12011250	0.44	12011250	11898750	11921250	
202001	102191	503131	12146250	0.48	12120000	11825625	11884500	
202001	102191	575753	12285000	0.4	12285000	11661562	11786250	
202001	102191	993793	11928750	0.44	11872500	11933438	11921250	
202001	102191	167033	12618750	0.52	12618750	11758125	11930250	
202001	102191	999563	13357500	0.44	13308750	11574375	11921250	
202001	102191	234239	12603750	0.48	12558750	11715938	11884500	
202001	102191	292667	13526250	0.39	13500000	11357812	11786250	
202001	102191	943289	12821250	0.38	12810000	11527500	11784000	
202001	102191	501637	11613750	0.34	11441250	11642812	11602500	
202001	102191	151573	13308750	0.44	13308750	11574375	11921250	
202001	102191	726287	12727500	0.45	12727500	11713125	11916000	
202001	102191	550309	10593750	0.34	10593750	11854688	11602500	
202001	102191	169177	12116250	0.5	12116250	11845312	11899500	
202001	102191	851413	12397500	0.52	12300000	11837812	11930250	
202001	102191	449287	12453750	0.36	12378750	11473125	11654250	
202001	102191	409891	11662500	0.5	11636250	11965312	11899500	
202001	102191	771427	13421250	0.5	13421250	11519062	11899500	
202001	102191	566011	14010000	0.44	13901250	11426250	11921250	
202001	102191	733879	11733750	0.36	11733750	11634375	11654250	
202001	102191	742151	13226250	0.48	13038750	11595938	11884500	
202001	102191	410833	10458750	0.52	10398750	12313125	11930250	
202001	102191	235177	12588750	0.42	12588750	11647500	11835750	
202001	102191	141311	12213750	0.51	12213750	11848125	11921250	
202001	102191	276467	12637500	0.39	12510000	11605312	11786250	
202001	102191	230807	11201250	0.44	10920000	12171562	11921250	
202001	102191	525727	11718750	0.5	11632500	11966250	11899500	
202001	102191	705409	11268750	0.52	11220000	12107812	11930250	
202001	102191	259277	11182500	0.54	11182500	11872500	11734500	
202001	102191	230369	14066250	0.53	14066250	11297812	11851500	
202001	102191	296251	11272500	0.37	11088750	11795625	11654250	
202001	102191	116099	12547500	0.42	12547500	11657812	11835750	
202001	102191	428227	14366250	0.53	14171250	11271562	11851500	
202001	102191	586567	12221250	0.45	12165000	11853750	11916000	
202001	102191	157327	11595000	0.48	11505000	11979375	11884500	
202001	102191	556181	14238750	0.44	14238750	11341875	11921250	
202001	102191	462899	12555000	0.45	12540000	11760000	11916000	
