mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202001	102191	370399	13800000	0.47	13800000	11413125	11890500	
202001	102191	561529	11250000	0.46	11246250	12095625	11925750	
202001	102191	813199	13038750	0.42	12881250	11440312	11728500	
202001	102191	128969	12108750	0.45	12108750	11840625	11894250	
202001	102191	242377	12697500	0.39	12543750	11518125	11723250	
202001	102191	906823	12300000	0.45	12217500	11813438	11894250	
202001	102191	461603	11715000	0.43	11621250	11895000	11840250	
202001	102191	590963	12918750	0.42	12795000	11461875	11728500	
202001	102191	366217	12393750	0.47	12393750	11764688	11890500	
202001	102191	780631	11865000	0.47	11790000	11915625	11890500	
202001	102191	902179	11441250	0.31	11246250	11187188	11199000	
202001	102191	651029	11842500	0.44	11737500	11881875	11853000	
202001	102191	511691	13222500	0.55	13170000	10989375	11425500	
202001	102191	259387	11055000	0.45	11055000	12104062	11894250	
202001	102191	221071	12903750	0.46	12903750	11681250	11925750	
202001	102191	538301	13368750	0.5	13368750	11286562	11703000	
202001	102191	706913	13177500	0.46	13162500	11616562	11925750	
202001	102191	212999	13305000	0.48	13305000	11462812	11831250	
202001	102191	647321	11276250	0.51	11175000	11730000	11619000	
202001	102191	167623	11958750	0.48	11861250	11823750	11831250	
202001	102191	222163	13488750	0.43	13488750	11428125	11840250	
202001	102191	920687	12450000	0.49	12401250	11598750	11759250	
202001	102191	167213	13275000	0.46	13132500	11624062	11925750	
202001	102191	325673	12221250	0.43	12221250	11745000	11840250	
202001	102191	132233	12213750	0.45	12213750	11814375	11894250	
202001	102191	284227	11842500	0.5	11628750	11721562	11703000	
202001	102191	876181	9982500	0.45	9978750	12373125	11894250	
202001	102191	978233	12045000	0.5	11880000	11658750	11703000	
202001	102191	355457	12322500	0.49	12247500	11637188	11759250	
202001	102191	641513	12866250	0.39	12866250	11437500	11723250	
202001	102191	737969	12802500	0.61	12723750	10603125	11027250	
202001	102191	838139	11426250	0.45	11197500	12068438	11894250	
202001	102191	544759	12236250	0.42	12060000	11645625	11728500	
202001	102191	617791	12390000	0.48	12390000	11691562	11831250	
202001	102191	577169	12217500	0.46	12112500	11879062	11925750	
202001	102191	414241	11606250	0.46	11606250	12005625	11925750	
202001	102191	415823	11463750	0.46	11463750	12041250	11925750	
202001	102191	992917	11658750	0.47	11535000	11979375	11890500	
202001	102191	433861	11673750	0.49	11482500	11828438	11759250	
202001	102191	730421	11906250	0.49	11906250	11722500	11759250	
202001	102191	586237	12266250	0.55	12131250	11249062	11425500	
202001	102191	123701	12652500	0.46	12652500	11744062	11925750	
202001	102191	221077	11576250	0.54	11463750	11567812	11547000	
202001	102191	476167	10916250	0.45	10916250	12138750	11894250	
202001	102191	794569	10796250	0.48	10796250	12090000	11831250	
202001	102191	380909	12071250	0.51	12015000	11520000	11619000	
202001	102191	631039	11253750	0.54	11253750	11620312	11547000	
202001	102191	862541	12450000	0.46	12450000	11794688	11925750	
202001	102191	260551	12558750	0.43	12536250	11666250	11840250	
202001	102191	219983	11220000	0.47	11081250	12092812	11890500	
202001	102191	217121	12982500	0.46	12967500	11665312	11925750	
202001	102191	976957	12787500	0.46	12787500	11710312	11925750	
202001	102191	432559	11752500	0.5	11752500	11690625	11703000	
202001	102191	628861	11448750	0.52	11171250	11683125	11580750	
202001	102191	944297	12877500	0.44	12877500	11596875	11853000	
202001	102191	236627	12056250	0.46	12030000	11899688	11925750	
202001	102191	546613	12551250	0.5	12330000	11546250	11703000	
202001	102191	493123	12645000	0.45	12645000	11706562	11894250	
202001	102191	618841	12225000	0.44	11970000	11823750	11853000	
202001	102191	289031	11370000	0.53	11253750	11632500	11556750	
202001	102191	627091	12326250	0.45	12131250	11835000	11894250	
202001	102191	990719	12183750	0.53	12183750	11400000	11556750	
202001	102191	461921	11973750	0.47	11973750	11869688	11890500	
202001	102191	216803	12251250	0.39	12251250	11591250	11723250	
202001	102191	615101	12007500	0.5	12007500	11626875	11703000	
202001	102191	482117	13053750	0.29	13053750	10642500	11124750	
202001	102191	358243	11385000	0.37	11036250	11699062	11566500	
202001	102191	981983	11996250	0.39	11996250	11655000	11723250	
202001	102191	712883	11283750	0.45	11283750	12046875	11894250	
202001	102191	213173	12281250	0.47	12281250	11792812	11890500	
202001	102191	400249	11595000	0.38	11595000	11695312	11675250	
202001	102191	953501	12172500	0.45	12172500	11824688	11894250	
202001	102191	624203	13177500	0.5	13102500	11353125	11703000	
202001	102191	656273	12731250	0.44	12450000	11703750	11853000	
