mes_aplicacion	semilla_undersampling	semilla_public	ganancia_public_inalcanzable	probabilidad_corte	ganancia_public	ganancia_private	ganancia_completa	
202001	102191	773939	12191250	0.48	12183750	11847188	11914500	
202001	102191	439903	12570000	0.47	12570000	11769375	11929500	
202001	102191	495199	11538750	0.36	11516250	11591250	11576250	
202001	102191	384779	12251250	0.56	12056250	11266875	11424750	
202001	102191	185957	10537500	0.48	10537500	12258750	11914500	
202001	102191	835427	12851250	0.48	12757500	11703750	11914500	
202001	102191	534617	11066250	0.36	11066250	11703750	11576250	
202001	102191	634859	10830000	0.48	10796250	12194062	11914500	
202001	102191	208037	11797500	0.38	11628750	11738438	11716500	
202001	102191	782581	11490000	0.38	11268750	11828438	11716500	
202001	102191	175781	13308750	0.58	13308750	10780312	11286000	
202001	102191	878567	12446250	0.46	12438750	11728125	11870250	
202001	102191	276083	13233750	0.5	13233750	11445000	11802750	
202001	102191	983173	12615000	0.37	12401250	11347500	11558250	
202001	102191	578659	12888750	0.52	12753750	11457188	11716500	
202001	102191	972329	12510000	0.55	12461250	11270625	11508750	
202001	102191	435893	12645000	0.47	12637500	11752500	11929500	
202001	102191	450971	12191250	0.46	12191250	11790000	11870250	
202001	102191	308701	12603750	0.52	12603750	11494688	11716500	
202001	102191	197101	14111250	0.48	14100000	11368125	11914500	
202001	102191	646883	11182500	0.46	11137500	12053438	11870250	
202001	102191	770971	11583750	0.51	11576250	11730000	11699250	
202001	102191	185491	10672500	0.52	10571250	12002812	11716500	
202001	102191	923603	12960000	0.47	12960000	11671875	11929500	
202001	102191	423509	12753750	0.5	12667500	11586562	11802750	
202001	102191	898231	10357500	0.29	10357500	10873125	10770000	
202001	102191	631901	10605000	0.46	10458750	12223125	11870250	
202001	102191	444869	11426250	0.51	11381250	11778750	11699250	
202001	102191	464741	12333750	0.41	12333750	11417812	11601000	
202001	102191	331999	12566250	0.43	12566250	11501250	11714250	
202001	102191	440347	12843750	0.35	12843750	11181562	11514000	
202001	102191	104801	13226250	0.48	13087500	11621250	11914500	
202001	102191	459271	12371250	0.46	12270000	11770312	11870250	
202001	102191	552731	11790000	0.46	11790000	11890312	11870250	
201912	102191	655579	14962500	0.39	14812500	15139688	15074250	
201912	102191	509071	14430000	0.38	14430000	15224062	15065250	
201912	102191	507103	16773750	0.37	16560000	14611875	15001500	
201912	102191	450883	15202500	0.4	14775000	15121875	15052500	
201912	102191	701299	16050000	0.32	15738750	14994375	15143250	
201912	102191	610229	16098750	0.3	16008750	14895000	15117750	
201912	102191	406697	16518750	0.4	16518750	14685938	15052500	
201912	102191	676861	17662500	0.38	17100000	14556562	15065250	
201912	102191	549203	16473750	0.41	16038750	14703750	14970750	
201912	102191	890027	14602500	0.41	14531250	15080625	14970750	
201912	102191	570497	15986250	0.34	15986250	15045000	15233250	
201912	102191	206953	16110000	0.25	16072500	14366250	14707500	
201912	102191	654749	14377500	0.47	14178750	14561250	14484750	
201912	102191	783329	15648750	0.38	15367500	14989688	15065250	
201912	102191	234587	16008750	0.31	15862500	15070312	15228750	
201912	102191	348811	15791250	0.27	15791250	14765625	14970750	
201912	102191	702323	14677500	0.25	14347500	14797500	14707500	
201912	102191	240041	15337500	0.43	15251250	14779688	14874000	
201912	102191	831553	14775000	0.34	14298750	15466875	15233250	
201912	102191	513767	16331250	0.31	16331250	14953125	15228750	
201912	102191	864781	13998750	0.48	13878750	14611875	14465250	
201912	102191	524633	15202500	0.4	14643750	15154688	15052500	
201912	102191	724021	14550000	0.25	14467500	14767500	14707500	
201912	102191	770129	14006250	0.28	13901250	15364688	15072000	
201912	102191	388169	16320000	0.35	16320000	15018750	15279000	
201912	102191	291443	15427500	0.42	14962500	14933438	14939250	
201912	102191	949903	14805000	0.27	14771250	15020625	14970750	
201912	102191	735809	15840000	0.31	15588750	15138750	15228750	
201912	102191	443899	14617500	0.35	14572500	15455625	15279000	
201912	102191	460387	15221250	0.26	15165000	14851875	14914500	
201912	102191	270577	15101250	0.32	15101250	15153750	15143250	
201912	102191	850049	15266250	0.39	14808750	15140625	15074250	
201912	102191	373943	14906250	0.3	14906250	15170625	15117750	
201912	102191	924299	15003750	0.31	15003750	15285000	15228750	
201912	102191	720899	17287500	0.31	17287500	14714062	15228750	
201912	102191	857083	15825000	0.35	15731250	15165938	15279000	
201912	102191	864959	13008750	0.47	13008750	14853750	14484750	
201912	102191	620827	15082500	0.33	14771250	15158438	15081000	
201912	102191	778319	15926250	0.35	15832500	15140625	15279000	
201912	102191	460919	15622500	0.31	15622500	15130312	15228750	
201912	102191	639269	15840000	0.4	15825000	14859375	15052500	
201912	102191	829399	14572500	0.29	14430000	15189375	15037500	
201912	102191	361789	17051250	0.4	16301250	14740312	15052500	
201912	102191	736121	16882500	0.4	16867500	14598750	15052500	
201912	102191	323699	14715000	0.32	14662500	15263438	15143250	
201912	102191	644261	15720000	0.31	15592500	15137812	15228750	
201912	102191	223367	15161250	0.39	14842500	15132188	15074250	
201912	102191	384479	14253750	0.44	14137500	14814375	14679000	
201912	102191	266891	15997500	0.41	15997500	14714062	14970750	
201912	102191	300581	14036250	0.31	14036250	15526875	15228750	
201912	102191	461101	14486250	0.41	14471250	15095625	14970750	
201912	102191	920209	16357500	0.37	16162500	14711250	15001500	
201912	102191	934951	16548750	0.5	16342500	13671562	14205750	
201912	102191	920497	14763750	0.35	14741250	15413438	15279000	
201912	102191	805331	15701250	0.31	15701250	15110625	15228750	
201912	102191	666751	16267500	0.39	16263750	14776875	15074250	
201912	102191	198943	15378750	0.39	15378750	14998125	15074250	
201912	102191	257249	14891250	0.34	14891250	15318750	15233250	
201912	102191	680039	15198750	0.38	15168750	15039375	15065250	
201912	102191	668803	17565000	0.39	17415000	14489062	15074250	
201912	102191	855229	14692500	0.42	14692500	15000938	14939250	
201912	102191	308713	15150000	0.39	15015000	15089062	15074250	
201912	102191	580001	15915000	0.31	15712500	15107812	15228750	
201912	102191	775741	15506250	0.31	15326250	15204375	15228750	
201912	102191	466369	15663750	0.4	15663750	14899688	15052500	
201912	102191	208003	14156250	0.35	14156250	15559688	15279000	
201912	102191	764857	14883750	0.4	14722500	15135000	15052500	
201912	102191	224449	15108750	0.44	15108750	14571562	14679000	
201912	102191	664369	14231250	0.39	14231250	15285000	15074250	
201912	102191	831433	16316250	0.27	16128750	14681250	14970750	
201912	102191	608677	16185000	0.4	16181250	14770312	15052500	
